Date,Gender,POS,Veterans
09/30/2018 12:00:00 AM,M,"(k) WWII, KC, VNE",12663
09/30/2018 12:00:00 AM,M,(l) Between WWII & KC,73689
09/30/2018 12:00:00 AM,M,(m) KC only,1204628
09/30/2018 12:00:00 AM,M,(n) KC & VNE,116056
09/30/2018 12:00:00 AM,M,(o) Between KC & VNE,1460560
09/30/2018 12:00:00 AM,M,(p) VNE only,5852199
09/30/2018 12:00:00 AM,M,(q) VNE & GW Era - Pre 9/11,272041
09/30/2018 12:00:00 AM,M,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",63551
09/30/2018 12:00:00 AM,M,(t) Between VNE & GW Era,2633301
09/30/2018 12:00:00 AM,M,(u) GW Era - Pre 9/11 only,2330701
09/30/2018 12:00:00 AM,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,1273195
09/30/2018 12:00:00 AM,M,(w) GW Era - Post 9/11 only,2452985
09/30/2018 12:00:00 AM,M,(s) VNE & GW Era - Post 9/11,58168
09/30/2018 12:00:00 AM,M,(x) Post-GW Era,0
09/30/2018 12:00:00 AM,M,(a) All Veterans (b+c),18335543
09/30/2018 12:00:00 AM,M,(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w),14164028
09/30/2018 12:00:00 AM,M,(c) Peacetime Veterans (h+l+o+t+x),4171515
09/30/2018 12:00:00 AM,M,(d) WW II (i+j+k),540503
09/30/2018 12:00:00 AM,M,(e) Korean Conflict (j+k+m+n),1360235
09/30/2018 12:00:00 AM,M,(f) Vietnam Era (k+n+p+q+r+s),6374677
09/30/2018 12:00:00 AM,M,(g) Gulf War Era (q+r+s+u+v+w),6450642
09/30/2019 12:00:00 AM,F,(h) Pre-WWII,101
09/30/2019 12:00:00 AM,F,(i) WWII only,20495
09/30/2019 12:00:00 AM,F,(j) WWII & KC,678
09/30/2019 12:00:00 AM,F,"(k) WWII, KC, VNE",509
09/30/2019 12:00:00 AM,F,(l) Between WWII & KC,2703
09/30/2019 12:00:00 AM,F,(m) KC only,30369
09/30/2019 12:00:00 AM,F,(n) KC & VNE,2369
09/30/2019 12:00:00 AM,F,(o) Between KC & VNE,49531
09/30/2019 12:00:00 AM,F,(p) VNE only,235619
09/30/2019 12:00:00 AM,F,(q) VNE & GW Era - Pre 9/11,16352
09/30/2019 12:00:00 AM,F,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",3521
09/30/2019 12:00:00 AM,F,(t) Between VNE & GW Era,380518
09/30/2019 12:00:00 AM,F,(u) GW Era - Pre 9/11 only,434045
09/30/2019 12:00:00 AM,F,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,235833
09/30/2019 12:00:00 AM,F,(w) GW Era - Post 9/11 only,597093
09/30/2019 12:00:00 AM,F,(s) VNE & GW Era - Post 9/11,4980
09/30/2019 12:00:00 AM,F,(x) Post-GW Era,0
09/30/2019 12:00:00 AM,F,(a) All Veterans (b+c),2014727
09/30/2019 12:00:00 AM,F,(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w),1581863
09/30/2019 12:00:00 AM,F,(c) Peacetime Veterans (h+l+o+t+x),432853
09/30/2019 12:00:00 AM,F,(d) WW II (i+j+k),21683
09/30/2019 12:00:00 AM,F,(e) Korean Conflict (j+k+m+n),33925
09/30/2019 12:00:00 AM,F,(f) Vietnam Era (k+n+p+q+r+s),263351
09/30/2019 12:00:00 AM,F,(g) Gulf War Era (q+r+s+u+v+w),1291824
09/30/2019 12:00:00 AM,M,(h) Pre-WWII,3014
09/30/2019 12:00:00 AM,M,(i) WWII only,379983
09/30/2019 12:00:00 AM,M,(j) WWII & KC,21837
09/30/2019 12:00:00 AM,M,"(k) WWII, KC, VNE",10204
09/30/2019 12:00:00 AM,M,(l) Between WWII & KC,61599
09/30/2019 12:00:00 AM,M,(m) KC only,1073058
09/30/2019 12:00:00 AM,M,(n) KC & VNE,104536
09/30/2019 12:00:00 AM,M,(o) Between KC & VNE,1374424
09/30/2019 12:00:00 AM,M,(p) VNE only,5690054
09/30/2019 12:00:00 AM,M,(q) VNE & GW Era - Pre 9/11,265810
09/30/2019 12:00:00 AM,M,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",62158
09/30/2019 12:00:00 AM,M,(t) Between VNE & GW Era,2604166
09/30/2019 12:00:00 AM,M,(u) GW Era - Pre 9/11 only,2318585
09/30/2019 12:00:00 AM,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,1291783
09/30/2019 12:00:00 AM,M,(w) GW Era - Post 9/11 only,2596394
09/30/2019 12:00:00 AM,M,(s) VNE & GW Era - Post 9/11,56462
09/30/2019 12:00:00 AM,M,(x) Post-GW Era,0
09/30/2019 12:00:00 AM,M,(a) All Veterans (b+c),17914068
09/30/2019 12:00:00 AM,M,(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w),13870866
09/30/2019 12:00:00 AM,M,(c) Peacetime Veterans (h+l+o+t+x),4043202
09/30/2019 12:00:00 AM,M,(d) WW II (i+j+k),412025
09/30/2019 12:00:00 AM,M,(e) Korean Conflict (j+k+m+n),1209635
09/30/2019 12:00:00 AM,M,(f) Vietnam Era (k+n+p+q+r+s),6189224
09/30/2019 12:00:00 AM,M,(g) Gulf War Era (q+r+s+u+v+w),6591193
09/30/2020 12:00:00 AM,F,(h) Pre-WWII,79
09/30/2020 12:00:00 AM,F,(i) WWII only,15662
09/30/2020 12:00:00 AM,F,(j) WWII & KC,552
09/30/2020 12:00:00 AM,F,"(k) WWII, KC, VNE",422
09/30/2020 12:00:00 AM,F,(l) Between WWII & KC,2331
09/30/2020 12:00:00 AM,F,(m) KC only,27524
09/30/2020 12:00:00 AM,F,(n) KC & VNE,2168
09/30/2020 12:00:00 AM,F,(o) Between KC & VNE,47145
09/30/2020 12:00:00 AM,F,(p) VNE only,231185
09/30/2020 12:00:00 AM,F,(q) VNE & GW Era - Pre 9/11,16129
09/30/2020 12:00:00 AM,F,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",3475
09/30/2020 12:00:00 AM,F,(t) Between VNE & GW Era,377799
09/30/2020 12:00:00 AM,F,(u) GW Era - Pre 9/11 only,432681
09/30/2020 12:00:00 AM,F,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,239089
09/30/2020 12:00:00 AM,F,(w) GW Era - Post 9/11 only,629457
09/30/2020 12:00:00 AM,F,(s) VNE & GW Era - Post 9/11,4870
09/30/2020 12:00:00 AM,F,(x) Post-GW Era,0
09/30/2020 12:00:00 AM,F,(a) All Veterans (b+c),2030586
09/30/2020 12:00:00 AM,F,(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w),1603214
09/30/2020 12:00:00 AM,F,(c) Peacetime Veterans (h+l+o+t+x),427354
09/30/2020 12:00:00 AM,F,(d) WW II (i+j+k),16637
09/30/2020 12:00:00 AM,F,(e) Korean Conflict (j+k+m+n),30665
09/30/2020 12:00:00 AM,F,(f) Vietnam Era (k+n+p+q+r+s),258249
09/30/2020 12:00:00 AM,F,(g) Gulf War Era (q+r+s+u+v+w),1325701
09/30/2020 12:00:00 AM,M,(h) Pre-WWII,2233
09/30/2020 12:00:00 AM,M,(i) WWII only,283462
09/30/2020 12:00:00 AM,M,(j) WWII & KC,17407
09/30/2020 12:00:00 AM,M,"(k) WWII, KC, VNE",8068
09/30/2020 12:00:00 AM,M,(l) Between WWII & KC,50956
09/30/2020 12:00:00 AM,M,(m) KC only,946510
09/30/2020 12:00:00 AM,M,(n) KC & VNE,93345
09/30/2020 12:00:00 AM,M,(o) Between KC & VNE,1287256
09/30/2020 12:00:00 AM,M,(p) VNE only,5523075
09/30/2020 12:00:00 AM,M,(q) VNE & GW Era - Pre 9/11,259409
09/30/2020 12:00:00 AM,M,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",60730
09/30/2020 12:00:00 AM,M,(t) Between VNE & GW Era,2573284
09/30/2020 12:00:00 AM,M,(u) GW Era - Pre 9/11 only,2305411
09/30/2020 12:00:00 AM,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,1308967
09/30/2020 12:00:00 AM,M,(w) GW Era - Post 9/11 only,2736543
09/30/2020 12:00:00 AM,M,(s) VNE & GW Era - Post 9/11,54719
09/30/2020 12:00:00 AM,M,(x) Post-GW Era,0
09/30/2020 12:00:00 AM,M,(a) All Veterans (b+c),17511374
09/30/2020 12:00:00 AM,M,(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w),13597646
09/30/2020 12:00:00 AM,M,(c) Peacetime Veterans (h+l+o+t+x),3913728
09/30/2020 12:00:00 AM,M,(d) WW II (i+j+k),308937
09/30/2020 12:00:00 AM,M,(e) Korean Conflict (j+k+m+n),1065330
09/30/2020 12:00:00 AM,M,(f) Vietnam Era (k+n+p+q+r+s),5999345
09/30/2020 12:00:00 AM,M,(g) Gulf War Era (q+r+s+u+v+w),6725779
09/30/2021 12:00:00 AM,F,(h) Pre-WWII,60
09/30/2021 12:00:00 AM,F,(i) WWII only,11769
09/30/2021 12:00:00 AM,F,(j) WWII & KC,441
09/30/2021 12:00:00 AM,F,"(k) WWII, KC, VNE",344
09/30/2021 12:00:00 AM,F,(l) Between WWII & KC,1999
09/30/2021 12:00:00 AM,F,(m) KC only,24672
09/30/2021 12:00:00 AM,F,(n) KC & VNE,1963
09/30/2021 12:00:00 AM,F,(o) Between KC & VNE,44610
09/30/2021 12:00:00 AM,F,(p) VNE only,226424
09/30/2021 12:00:00 AM,F,(q) VNE & GW Era - Pre 9/11,15885
09/30/2021 12:00:00 AM,F,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",3425
09/30/2021 12:00:00 AM,F,(t) Between VNE & GW Era,374869
09/30/2021 12:00:00 AM,F,(u) GW Era - Pre 9/11 only,431194
09/30/2021 12:00:00 AM,F,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,240778
09/30/2021 12:00:00 AM,F,(w) GW Era - Post 9/11 only,662171
09/30/2021 12:00:00 AM,F,(s) VNE & GW Era - Post 9/11,4754
09/30/2021 12:00:00 AM,F,(x) Post-GW Era,0
09/30/2021 12:00:00 AM,F,(a) All Veterans (b+c),2045384
09/30/2021 12:00:00 AM,F,(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w),1623821
09/30/2021 12:00:00 AM,F,(c) Peacetime Veterans (h+l+o+t+x),421538
09/30/2021 12:00:00 AM,F,(d) WW II (i+j+k),12554
09/30/2021 12:00:00 AM,F,(e) Korean Conflict (j+k+m+n),27421
09/30/2021 12:00:00 AM,F,(f) Vietnam Era (k+n+p+q+r+s),252796
09/30/2021 12:00:00 AM,F,(g) Gulf War Era (q+r+s+u+v+w),1358207
09/30/2021 12:00:00 AM,M,(h) Pre-WWII,1614
09/30/2021 12:00:00 AM,M,(i) WWII only,207915
09/30/2021 12:00:00 AM,M,(j) WWII & KC,13606
09/30/2021 12:00:00 AM,M,"(k) WWII, KC, VNE",6254
09/30/2021 12:00:00 AM,M,(l) Between WWII & KC,41606
09/30/2021 12:00:00 AM,M,(m) KC only,824357
09/30/2021 12:00:00 AM,M,(n) KC & VNE,82394
09/30/2021 12:00:00 AM,M,(o) Between KC & VNE,1197713
09/30/2021 12:00:00 AM,M,(p) VNE only,5347903
09/30/2021 12:00:00 AM,M,(q) VNE & GW Era - Pre 9/11,252689
09/30/2021 12:00:00 AM,M,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",59234
09/30/2021 12:00:00 AM,M,(t) Between VNE & GW Era,2540627
09/30/2021 12:00:00 AM,M,(u) GW Era - Pre 9/11 only,2291047
09/30/2021 12:00:00 AM,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,1316894
09/30/2021 12:00:00 AM,M,(w) GW Era - Post 9/11 only,2880353
09/30/2021 12:00:00 AM,M,(s) VNE & GW Era - Post 9/11,52923
09/30/2021 12:00:00 AM,M,(x) Post-GW Era,0
09/30/2021 12:00:00 AM,M,(a) All Veterans (b+c),17117131
09/30/2021 12:00:00 AM,M,(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w),13335570
09/30/2021 12:00:00 AM,M,(c) Peacetime Veterans (h+l+o+t+x),3781561
09/30/2021 12:00:00 AM,M,(d) WW II (i+j+k),227775
09/30/2021 12:00:00 AM,M,(e) Korean Conflict (j+k+m+n),926611
09/30/2021 12:00:00 AM,M,(f) Vietnam Era (k+n+p+q+r+s),5801398
09/30/2021 12:00:00 AM,M,(g) Gulf War Era (q+r+s+u+v+w),6853141
09/30/2022 12:00:00 AM,F,(h) Pre-WWII,45
09/30/2022 12:00:00 AM,F,(i) WWII only,8694
09/30/2022 12:00:00 AM,F,(j) WWII & KC,346
09/30/2022 12:00:00 AM,F,"(k) WWII, KC, VNE",276
09/30/2022 12:00:00 AM,F,(l) Between WWII & KC,1703
09/30/2022 12:00:00 AM,F,(m) KC only,21875
09/30/2022 12:00:00 AM,F,(n) KC & VNE,1761
09/30/2022 12:00:00 AM,F,(o) Between KC & VNE,41968
09/30/2022 12:00:00 AM,F,(p) VNE only,221347
09/30/2022 12:00:00 AM,F,(q) VNE & GW Era - Pre 9/11,15623
09/30/2022 12:00:00 AM,F,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",3369
09/30/2022 12:00:00 AM,F,(t) Between VNE & GW Era,371702
09/30/2022 12:00:00 AM,F,(u) GW Era - Pre 9/11 only,429548
09/30/2022 12:00:00 AM,F,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,241710
09/30/2022 12:00:00 AM,F,(w) GW Era - Post 9/11 only,695174
09/30/2022 12:00:00 AM,F,(s) VNE & GW Era - Post 9/11,4635
09/30/2022 12:00:00 AM,F,(x) Post-GW Era,0
09/30/2022 12:00:00 AM,F,(a) All Veterans (b+c),2059805
09/30/2022 12:00:00 AM,F,(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w),1644358
09/30/2022 12:00:00 AM,F,(c) Peacetime Veterans (h+l+o+t+x),415418
09/30/2022 12:00:00 AM,F,(d) WW II (i+j+k),9316
09/30/2022 12:00:00 AM,F,(e) Korean Conflict (j+k+m+n),24258
09/30/2022 12:00:00 AM,F,(f) Vietnam Era (k+n+p+q+r+s),247010
09/30/2022 12:00:00 AM,F,(g) Gulf War Era (q+r+s+u+v+w),1390059
09/30/2022 12:00:00 AM,M,(h) Pre-WWII,1140
09/30/2022 12:00:00 AM,M,(i) WWII only,149900
09/30/2022 12:00:00 AM,M,(j) WWII & KC,10421
09/30/2022 12:00:00 AM,M,"(k) WWII, KC, VNE",4751
09/30/2022 12:00:00 AM,M,(l) Between WWII & KC,33481
09/30/2022 12:00:00 AM,M,(m) KC only,708184
09/30/2022 12:00:00 AM,M,(n) KC & VNE,71824
09/30/2022 12:00:00 AM,M,(o) Between KC & VNE,1106249
09/30/2022 12:00:00 AM,M,(p) VNE only,5163608
09/30/2022 12:00:00 AM,M,(q) VNE & GW Era - Pre 9/11,245607
09/30/2022 12:00:00 AM,M,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",57656
09/30/2022 12:00:00 AM,M,(t) Between VNE & GW Era,2506250
09/30/2022 12:00:00 AM,M,(u) GW Era - Pre 9/11 only,2275422
09/30/2022 12:00:00 AM,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,1319856
09/30/2022 12:00:00 AM,M,(w) GW Era - Post 9/11 only,3026972
09/30/2022 12:00:00 AM,M,(s) VNE & GW Era - Post 9/11,51067
09/30/2022 12:00:00 AM,M,(x) Post-GW Era,0
09/30/2022 12:00:00 AM,M,(a) All Veterans (b+c),16732386
09/30/2022 12:00:00 AM,M,(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w),13085266
09/30/2022 12:00:00 AM,M,(c) Peacetime Veterans (h+l+o+t+x),3647119
09/30/2022 12:00:00 AM,M,(d) WW II (i+j+k),165071
09/30/2022 12:00:00 AM,M,(e) Korean Conflict (j+k+m+n),795179
09/30/2022 12:00:00 AM,M,(f) Vietnam Era (k+n+p+q+r+s),5594512
09/30/2022 12:00:00 AM,M,(g) Gulf War Era (q+r+s+u+v+w),6976579
09/30/2023 12:00:00 AM,F,(h) Pre-WWII,33
09/30/2023 12:00:00 AM,F,(i) WWII only,6317
09/30/2023 12:00:00 AM,F,(j) WWII & KC,267
09/30/2023 12:00:00 AM,F,"(k) WWII, KC, VNE",217
09/30/2023 12:00:00 AM,F,(l) Between WWII & KC,1444
09/30/2023 12:00:00 AM,F,(m) KC only,19205
09/30/2023 12:00:00 AM,F,(n) KC & VNE,1565
09/30/2023 12:00:00 AM,F,(o) Between KC & VNE,39273
09/30/2023 12:00:00 AM,F,(p) VNE only,215967
09/30/2023 12:00:00 AM,F,(q) VNE & GW Era - Pre 9/11,15342
09/30/2023 12:00:00 AM,F,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",3310
09/30/2023 12:00:00 AM,F,(t) Between VNE & GW Era,368296
09/30/2023 12:00:00 AM,F,(u) GW Era - Pre 9/11 only,427744
09/30/2023 12:00:00 AM,F,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,242144
09/30/2023 12:00:00 AM,F,(w) GW Era - Post 9/11 only,728342
09/30/2023 12:00:00 AM,F,(s) VNE & GW Era - Post 9/11,4510
09/30/2023 12:00:00 AM,F,(x) Post-GW Era,0
09/30/2023 12:00:00 AM,F,(a) All Veterans (b+c),2074007
09/30/2023 12:00:00 AM,F,(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w),1664929
09/30/2023 12:00:00 AM,F,(c) Peacetime Veterans (h+l+o+t+x),409046
09/30/2023 12:00:00 AM,F,(d) WW II (i+j+k),6801
09/30/2023 12:00:00 AM,F,(e) Korean Conflict (j+k+m+n),21254
09/30/2023 12:00:00 AM,F,(f) Vietnam Era (k+n+p+q+r+s),240910
09/30/2023 12:00:00 AM,F,(g) Gulf War Era (q+r+s+u+v+w),1421392
09/30/2023 12:00:00 AM,M,(h) Pre-WWII,787
09/30/2023 12:00:00 AM,M,(i) WWII only,106187
09/30/2023 12:00:00 AM,M,(j) WWII & KC,7816
09/30/2023 12:00:00 AM,M,"(k) WWII, KC, VNE",3536
09/30/2023 12:00:00 AM,M,(l) Between WWII & KC,26515
09/30/2023 12:00:00 AM,M,(m) KC only,599982
09/30/2023 12:00:00 AM,M,(n) KC & VNE,61830
09/30/2023 12:00:00 AM,M,(o) Between KC & VNE,1014347
09/30/2023 12:00:00 AM,M,(p) VNE only,4971259
09/30/2023 12:00:00 AM,M,(q) VNE & GW Era - Pre 9/11,238189
09/30/2023 12:00:00 AM,M,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",55998
09/30/2023 12:00:00 AM,M,(t) Between VNE & GW Era,2470329
09/30/2023 12:00:00 AM,M,(u) GW Era - Pre 9/11 only,2258514
09/30/2023 12:00:00 AM,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,1319452
09/30/2023 12:00:00 AM,M,(w) GW Era - Post 9/11 only,3175580
09/30/2023 12:00:00 AM,M,(s) VNE & GW Era - Post 9/11,49151
09/30/2023 12:00:00 AM,M,(x) Post-GW Era,0
09/30/2023 12:00:00 AM,M,(a) All Veterans (b+c),16359473
09/30/2023 12:00:00 AM,M,(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w),12847495
09/30/2023 12:00:00 AM,M,(c) Peacetime Veterans (h+l+o+t+x),3511978
09/30/2023 12:00:00 AM,M,(d) WW II (i+j+k),117540
09/30/2023 12:00:00 AM,M,(e) Korean Conflict (j+k+m+n),673164
09/30/2023 12:00:00 AM,M,(f) Vietnam Era (k+n+p+q+r+s),5379964
09/30/2023 12:00:00 AM,M,(g) Gulf War Era (q+r+s+u+v+w),7096885
09/30/2024 12:00:00 AM,F,(h) Pre-WWII,24
09/30/2024 12:00:00 AM,F,(i) WWII only,4513
09/30/2024 12:00:00 AM,F,(j) WWII & KC,203
09/30/2024 12:00:00 AM,F,"(k) WWII, KC, VNE",168
09/30/2024 12:00:00 AM,F,(l) Between WWII & KC,1217
09/30/2024 12:00:00 AM,F,(m) KC only,16685
09/30/2024 12:00:00 AM,F,(n) KC & VNE,1377
09/30/2024 12:00:00 AM,F,(o) Between KC & VNE,36566
09/30/2024 12:00:00 AM,F,(p) VNE only,210315
09/30/2024 12:00:00 AM,F,(q) VNE & GW Era - Pre 9/11,15042
09/30/2024 12:00:00 AM,F,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",3247
09/30/2024 12:00:00 AM,F,(t) Between VNE & GW Era,364655
09/30/2024 12:00:00 AM,F,(u) GW Era - Pre 9/11 only,425766
09/30/2024 12:00:00 AM,F,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,242200
09/30/2024 12:00:00 AM,F,(w) GW Era - Post 9/11 only,761417
09/30/2024 12:00:00 AM,F,(s) VNE & GW Era - Post 9/11,4382
09/30/2024 12:00:00 AM,F,(x) Post-GW Era,0
09/30/2024 12:00:00 AM,F,(a) All Veterans (b+c),2087809
09/30/2024 12:00:00 AM,F,(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w),1685314
09/30/2024 12:00:00 AM,F,(c) Peacetime Veterans (h+l+o+t+x),402462
09/30/2024 12:00:00 AM,F,(d) WW II (i+j+k),4883
09/30/2024 12:00:00 AM,F,(e) Korean Conflict (j+k+m+n),18433
09/30/2024 12:00:00 AM,F,(f) Vietnam Era (k+n+p+q+r+s),234531
09/30/2024 12:00:00 AM,F,(g) Gulf War Era (q+r+s+u+v+w),1452053
09/30/2024 12:00:00 AM,M,(h) Pre-WWII,532
09/30/2024 12:00:00 AM,M,(i) WWII only,73878
09/30/2024 12:00:00 AM,M,(j) WWII & KC,5739
09/30/2024 12:00:00 AM,M,"(k) WWII, KC, VNE",2579
09/30/2024 12:00:00 AM,M,(l) Between WWII & KC,20633
09/30/2024 12:00:00 AM,M,(m) KC only,500844
09/30/2024 12:00:00 AM,M,(n) KC & VNE,52528
09/30/2024 12:00:00 AM,M,(o) Between KC & VNE,923473
09/30/2024 12:00:00 AM,M,(p) VNE only,4772902
09/30/2024 12:00:00 AM,M,(q) VNE & GW Era - Pre 9/11,230499
09/30/2024 12:00:00 AM,M,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",54276
09/30/2024 12:00:00 AM,M,(t) Between VNE & GW Era,2433043
09/30/2024 12:00:00 AM,M,(u) GW Era - Pre 9/11 only,2240336
09/30/2024 12:00:00 AM,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,1316588
09/30/2024 12:00:00 AM,M,(w) GW Era - Post 9/11 only,3324224
09/30/2024 12:00:00 AM,M,(s) VNE & GW Era - Post 9/11,47193
09/30/2024 12:00:00 AM,M,(x) Post-GW Era,0
09/30/2024 12:00:00 AM,M,(a) All Veterans (b+c),15999266
09/30/2024 12:00:00 AM,M,(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w),12621586
09/30/2024 12:00:00 AM,M,(c) Peacetime Veterans (h+l+o+t+x),3377680
09/30/2024 12:00:00 AM,M,(d) WW II (i+j+k),82196
09/30/2024 12:00:00 AM,M,(e) Korean Conflict (j+k+m+n),561690
09/30/2024 12:00:00 AM,M,(f) Vietnam Era (k+n+p+q+r+s),5159978
09/30/2024 12:00:00 AM,M,(g) Gulf War Era (q+r+s+u+v+w),7213116
09/30/2025 12:00:00 AM,F,(h) Pre-WWII,17
09/30/2025 12:00:00 AM,F,(i) WWII only,3167
09/30/2025 12:00:00 AM,F,(j) WWII & KC,151
09/30/2025 12:00:00 AM,F,"(k) WWII, KC, VNE",128
09/30/2025 12:00:00 AM,F,(l) Between WWII & KC,1016
09/30/2025 12:00:00 AM,F,(m) KC only,14315
09/30/2025 12:00:00 AM,F,(n) KC & VNE,1198
09/30/2025 12:00:00 AM,F,(o) Between KC & VNE,33847
09/30/2025 12:00:00 AM,F,(p) VNE only,204368
09/30/2025 12:00:00 AM,F,(q) VNE & GW Era - Pre 9/11,14722
09/30/2025 12:00:00 AM,F,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",3179
09/30/2025 12:00:00 AM,F,(t) Between VNE & GW Era,360750
09/30/2025 12:00:00 AM,F,(u) GW Era - Pre 9/11 only,423611
09/30/2025 12:00:00 AM,F,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,241905
09/30/2025 12:00:00 AM,F,(w) GW Era - Post 9/11 only,788794
09/30/2025 12:00:00 AM,F,(s) VNE & GW Era - Post 9/11,4249
09/30/2025 12:00:00 AM,F,(x) Post-GW Era,5508
09/30/2025 12:00:00 AM,F,(a) All Veterans (b+c),2100958
09/30/2025 12:00:00 AM,F,(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w),1699787
09/30/2025 12:00:00 AM,F,(c) Peacetime Veterans (h+l+o+t+x),401137
09/30/2025 12:00:00 AM,F,(d) WW II (i+j+k),3446
09/30/2025 12:00:00 AM,F,(e) Korean Conflict (j+k+m+n),15792
09/30/2025 12:00:00 AM,F,(f) Vietnam Era (k+n+p+q+r+s),227844
09/30/2025 12:00:00 AM,F,(g) Gulf War Era (q+r+s+u+v+w),1476460
09/30/2025 12:00:00 AM,M,(h) Pre-WWII,352
09/30/2025 12:00:00 AM,M,(i) WWII only,50461
09/30/2025 12:00:00 AM,M,(j) WWII & KC,4124
09/30/2025 12:00:00 AM,M,"(k) WWII, KC, VNE",1842
09/30/2025 12:00:00 AM,M,(l) Between WWII & KC,15756
09/30/2025 12:00:00 AM,M,(m) KC only,411334
09/30/2025 12:00:00 AM,M,(n) KC & VNE,43969
09/30/2025 12:00:00 AM,M,(o) Between KC & VNE,833674
09/30/2025 12:00:00 AM,M,(p) VNE only,4568236
